id,year,outcome,switcher,xl_area,inc1_fav,inc2_fav,inc3_fav,inc4_fav,inc5_fav,inc6_fav,inc7_fav,inc8_fav,inc9_fav,inc10_fav,inc11_fav,inc12_fav,inc1_opp,inc2_opp,inc3_opp,inc4_opp,inc5_opp,inc6_opp,inc7_opp,inc8_opp,inc9_opp,inc10_opp,inc11_opp,inc12_opp,inc1_dk,inc2_dk,inc3_dk,inc4_dk,inc5_dk,inc6_dk,inc7_dk,inc8_dk,inc9_dk,inc10_dk,inc11_dk,inc12_dk,budget_reconciliation,filibuster_proof,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,inc10,inc11,inc12,total,inc1_score,inc2_score,inc3_score,inc4_score,inc5_score,inc6_score,inc7_score,inc8_score,inc9_score,inc10_score,inc11_score,inc12_score,gridlock,sen_seat_advantage,hs_seat_advantage,unified,cloture,coef_intercept,coef_income,coef_income_squared,pred50_sw,pred90_sw
21,2009,0,0,0,227,62,43,68,66,0,0,0,0,0,0,0,124,85,67,47,45,0,0,0,0,0,0,0,3,2,1,2,6,0,0,0,0,0,0,0,0,0,354,149,111,117,117,0,0,0,0,0,0,0,848,0.20872641509433962,0.5053066037735849,0.6586084905660378,0.7930424528301887,0.9310141509433962,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.9106555652832742,-7.71058901868376,6.711041389862996,0.4336735549131145,0.6003848660658329
22,2009,0,0,misc others,149,45,41,45,41,0,0,0,0,0,0,0,200,99,69,68,76,0,0,0,0,0,0,0,5,5,1,4,0,0,0,0,0,0,0,0,0,0,354,149,111,117,117,0,0,0,0,0,0,0,848,0.20872641509433962,0.5053066037735849,0.6586084905660378,0.7930424528301887,0.9310141509433962,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.07354416921197332,-2.2023444002448223,1.7102637750103553,0.3543294893394147,0.3720920911536903
23,2009,1,0,health,116,262,0,0,0,0,0,0,0,0,0,0,46,152,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,165,418,0,0,0,0,0,0,0,0,0,0,583,0.14150943396226415,0.6415094339622641,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.0326331752852236,-0.7609696234009256,NA,NA,NA
24,2009,1,0,health,112,284,0,0,0,0,0,0,0,0,0,0,74,140,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1,1,189,430,0,0,0,0,0,0,0,0,0,0,619,0.15266558966074315,0.6526655896607432,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.3250028748920842,0.5857960749214522,NA,NA,NA
25,2009,0,1,misc others,208,79,56,77,69,0,0,0,0,0,0,0,140,64,47,35,42,0,0,0,0,0,0,0,6,6,8,5,6,0,0,0,0,0,0,0,0,0,354,149,111,117,117,0,0,0,0,0,0,0,848,0.20872641509433962,0.5053066037735849,0.6586084905660378,0.7930424528301887,0.9310141509433962,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.6652490996986603,-1.7210295259511152,1.8277763020640245,0.43495116214459295,0.3550712593890252
26,2009,0,0,health,54,115,0,0,0,0,0,0,0,0,0,0,132,300,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,189,430,0,0,0,0,0,0,0,0,0,0,619,0.15266558966074315,0.6526655896607432,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,-0.8739614351786702,-0.13006494054029122,NA,NA,NA
27,2009,1,0,health,96,261,0,0,0,0,0,0,0,0,0,0,65,151,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1,165,418,0,0,0,0,0,0,0,0,0,0,583,0.14150943396226415,0.6415094339622641,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.34544781338289593,0.3145592978711058,NA,NA,NA
28,2009,1,0,health,112,301,0,0,0,0,0,0,0,0,0,0,53,114,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,165,418,0,0,0,0,0,0,0,0,0,0,583,0.14150943396226415,0.6415094339622641,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.6851772807776519,0.4454097172186761,NA,NA,NA
29,2009,1,0,health,82,203,0,0,0,0,0,0,0,0,0,0,101,220,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,1,189,430,0,0,0,0,0,0,0,0,0,0,619,0.15266558966074315,0.6526655896607432,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,-0.24747746209979227,0.25595940315623034,NA,NA,NA
30,2009,1,0,health,126,296,0,0,0,0,0,0,0,0,0,0,37,115,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,165,418,0,0,0,0,0,0,0,0,0,0,583,0.14150943396226415,0.6415094339622641,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.3045913532716165,-0.5598733366938364,NA,NA,NA
